Acni_36899	BJBX01036899.1
Acni_6216	BJBX01006216.1
Acni_42922	BJBX01042922.1
Acni_18964	BJBX01018964.1
Acni_24456	BJBX01024456.1
Acni_33790	BJBX01033790.1
Acni_11110	BJBX01011110.1
Acni_44457	BJBX01044457.1
Acni_29187	BJBX01029187.1
Acni_17614	BJBX01017614.1
Acni_25567	BJBX01025567.1
Acni_43559	BJBX01043559.1
Acni_9920	BJBX01009920.1
Acni_30448	BJBX01030448.1
Acni_15727	BJBX01015727.1
Acni_3714	BJBX01003714.1
Acni_31695	BJBX01031695.1
Acni_22897	BJBX01022897.1
Acni_9822	BJBX01009822.1
Acni_21349	BJBX01021349.1
Acni_16473	BJBX01016473.1
Acni_2191	BJBX01002191.1
Acni_37966	BJBX01037966.1
Acni_17019	BJBX01017019.1
Acni_21996	BJBX01021996.1
Acni_8830	BJBX01008830.1
Acni_39894	BJBX01039894.1
Acni_29615	BJBX01029615.1
Acni_40008	BJBX01040008.1
Acni_5461	BJBX01005461.1
Acni_14794	BJBX01014794.1
Acni_41607	BJBX01041607.1
Acni_37813	BJBX01037813.1
Acni_6635	BJBX01006635.1
Acni_39578	BJBX01039578.1
Acni_29456	BJBX01029456.1
Acni_36796	BJBX01036796.1
Acni_41984	BJBX01041984.1
Acni_14311	BJBX01014311.1
Acni_20418	BJBX01020418.1
Acni_15142	BJBX01015142.1
Acni_42818	BJBX01042818.1
Acni_18156	BJBX01018156.1
Acni_11978	BJBX01011978.1
Acni_20011	BJBX01020011.1
Acni_384	BJBX01000384.1
Acni_9986	BJBX01009986.1
Acni_38399	BJBX01038399.1
Acni_30615	BJBX01030615.1
Acni_40661	BJBX01040661.1
Acni_39794	BJBX01039794.1
Acni_24604	BJBX01024604.1
Acni_28176	BJBX01028176.1
Acni_31020	BJBX01031020.1
Acni_12798	BJBX01012798.1
Acni_20373	BJBX01020373.1
Acni_3071	BJBX01003071.1
Acni_43596	BJBX01043596.1
Acni_36753	BJBX01036753.1
Acni_27390	BJBX01027390.1
Acni_23814	BJBX01023814.1
Acni_29035	BJBX01029035.1
Acni_9380	BJBX01009380.1
Acni_31970	BJBX01031970.1
Acni_5368	BJBX01005368.1
Acni_13835	BJBX01013835.1
Acni_43226	BJBX01043226.1
Acni_4850	BJBX01004850.1
Acni_33674	BJBX01033674.1
Acni_15972	BJBX01015972.1
Acni_34834	BJBX01034834.1
Acni_12310	BJBX01012310.1
Acni_18782	BJBX01018782.1
Acni_7689	BJBX01007689.1
Acni_29990	BJBX01029990.1
Acni_23174	BJBX01023174.1
Acni_40870	BJBX01040870.1
Acni_36443	BJBX01036443.1
Acni_28340	BJBX01028340.1
Acni_23711	BJBX01023711.1
Acni_36402	BJBX01036402.1
Acni_35178	BJBX01035178.1
Acni_42836	BJBX01042836.1
Acni_10807	BJBX01010807.1
Acni_12472	BJBX01012472.1
Acni_43030	BJBX01043030.1
Acni_44963	BJBX01044963.1
Acni_40955	BJBX01040955.1
Acni_10446	BJBX01010446.1
Acni_21472	BJBX01021472.1
Acni_1087	BJBX01001087.1
Acni_21263	BJBX01021263.1
Acni_26991	BJBX01026991.1
Acni_1643	BJBX01001643.1
Acni_11894	BJBX01011894.1
Acni_5292	BJBX01005292.1
Acni_28056	BJBX01028056.1
Acni_34846	BJBX01034846.1
Acni_6924	BJBX01006924.1
Acni_44823	BJBX01044823.1
Acni_27932	BJBX01027932.1
Acni_32452	BJBX01032452.1
Acni_2148	BJBX01002148.1
Acni_34668	BJBX01034668.1
Acni_13085	BJBX01013085.1
Acni_8294	BJBX01008294.1
Acni_22251	BJBX01022251.1
Acni_19607	BJBX01019607.1
